router,type,owner,chassis,pop,address,city,state,clli_code,isis_interface,adj_router,adj_router_type,adj_router_owner,adj_router_chassis,adj_interface,bandwidth_kbps
ESP1.BIR1,ESP,GBLX,7750-SR-12,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae3,BHM1-CR1,CR,TWTC-JUNIPER,MX960,ae6.0,10000000
ESP1.BIR1,ESP,GBLX,7750-SR-12,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae4,BHM1-CR2,CR,TWTC-JUNIPER,MX960,ae6.0,20000000
SCR1.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae2.0,BHM1-CR1,CR,TWTC-JUNIPER,MX960,ae2.0,20000000
SCR1.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae30.0,HSV1-AR1,AR,TWTC-JUNIPER,MX104,ae20.0,10000000
SCR1.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae0.0,SCR2.BIR1,SCR,GBLX,MX10003,ae0.0,100000000
SCR1.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae1.0,SCR2.NOR1,SCR,GBLX,MX10003,ae12.0,100000000
SCR1.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae20.0,VAR1.BHM2,VAR,TWTC-JUNIPER,MX10003,ae20.0,100000000
SCR1.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae22.0,VAR1.HSV1,VAR,TWTC-JUNIPER,MX104,ae22.0,10000000
SCR1.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae21.0,VAR2.BHM2,VAR,TWTC-JUNIPER,MX10003,ae20.0,100000000
SCR2.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae2.0,BHM1-CR2,CR,TWTC-JUNIPER,MX960,ae2.0,20000000
SCR2.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae0.0,SCR1.BIR1,SCR,GBLX,MX10003,ae0.0,100000000
SCR2.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae1.0,SDR3.ATL2,SDR,GBLX,MX10008,ae12.0,100000000
SCR2.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae20.0,VAR1.BHM2,VAR,TWTC-JUNIPER,MX10003,ae21.0,100000000
SCR2.BIR1,SCR,GBLX,MX10003,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae21.0,VAR2.BHM2,VAR,TWTC-JUNIPER,MX10003,ae21.0,100000000
EAR1.BIR1,EAR,L3,7750-SR-2s,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae2.13,EAR2.BIR1,EAR,L3,7750-SR-2s,ae2.13,400000000
EAR1.BIR1,EAR,L3,7750-SR-2s,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae1.3518,EBR1.ATL2,EBR,L3,PTX10008,ae43.3518,300000000
EAR2.BIR1,EAR,L3,7750-SR-2s,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae2.13,EAR1.BIR1,EAR,L3,7750-SR-2s,ae2.13,400000000
EAR2.BIR1,EAR,L3,7750-SR-2s,BIR1,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae7.7,EBR2.DAL5,EBR,L3,7750-SR-7s,ae7.7,300000000
BHM1-AR1,AR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-0/0/0.0,BHM1-CR1,CR,TWTC-JUNIPER,MX960,xe-5/2/0.0,10000000
BHM1-AR1,AR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-11/0/0.0,BHM1-CR2,CR,TWTC-JUNIPER,MX960,xe-5/2/0.0,10000000
BHM1-AR3,AR,TWTC-JUNIPER,M120,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-0/0/0.0,BHM1-CR1,CR,TWTC-JUNIPER,MX960,xe-0/1/0.0,10000000
BHM1-AR3,AR,TWTC-JUNIPER,M120,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-1/0/0.0,BHM1-CR2,CR,TWTC-JUNIPER,MX960,xe-0/1/0.0,10000000
BHM1-AR4,AR,TWTC-JUNIPER,MX480,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae20.0,BHM1-CR1,CR,TWTC-JUNIPER,MX960,ae22.0,20000000
BHM1-AR4,AR,TWTC-JUNIPER,MX480,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae21.0,BHM1-CR2,CR,TWTC-JUNIPER,MX960,ae20.0,20000000
BHM1-CR1,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-5/2/0.0,BHM1-AR1,AR,TWTC-JUNIPER,MX960,xe-0/0/0.0,10000000
BHM1-CR1,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-0/1/0.0,BHM1-AR3,AR,TWTC-JUNIPER,M120,xe-0/0/0.0,10000000
BHM1-CR1,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae22.0,BHM1-AR4,AR,TWTC-JUNIPER,MX480,ae20.0,20000000
BHM1-CR1,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae0.0,BHM1-CR2,CR,TWTC-JUNIPER,MX960,ae0.0,20000000
BHM1-CR1,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-0/3/0.0,BHM1-ER1,ER,TWTC-JUNIPER,MX480,xe-0/0/0.0,10000000
BHM1-CR1,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae6.0,ESP1.BIR1,ESP,GBLX,7750-SR-12,ae3,10000000
BHM1-CR1,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae2.0,SCR1.BIR1,SCR,GBLX,MX10003,ae2.0,20000000
BHM1-CR2,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-5/2/0.0,BHM1-AR1,AR,TWTC-JUNIPER,MX960,xe-11/0/0.0,10000000
BHM1-CR2,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-0/1/0.0,BHM1-AR3,AR,TWTC-JUNIPER,M120,xe-1/0/0.0,10000000
BHM1-CR2,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae20.0,BHM1-AR4,AR,TWTC-JUNIPER,MX480,ae21.0,20000000
BHM1-CR2,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae0.0,BHM1-CR1,CR,TWTC-JUNIPER,MX960,ae0.0,20000000
BHM1-CR2,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-0/3/0.0,BHM1-ER1,ER,TWTC-JUNIPER,MX480,xe-1/0/0.0,10000000
BHM1-CR2,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae6.0,ESP1.BIR1,ESP,GBLX,7750-SR-12,ae4,20000000
BHM1-CR2,CR,TWTC-JUNIPER,MX960,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,ae2.0,SCR2.BIR1,SCR,GBLX,MX10003,ae2.0,20000000
BHM1-ER1,ER,TWTC-JUNIPER,MX480,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-0/0/0.0,BHM1-CR1,CR,TWTC-JUNIPER,MX960,xe-0/3/0.0,10000000
BHM1-ER1,ER,TWTC-JUNIPER,MX480,BHM1,2001 PARK PL,BIRMINGHAM,ALABAMA,BRHMAL06,xe-1/0/0.0,BHM1-CR2,CR,TWTC-JUNIPER,MX960,xe-0/3/0.0,10000000
VAR1.BHM2,VAR,TWTC-JUNIPER,MX10003,BHM2,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae20.0,SCR1.BIR1,SCR,GBLX,MX10003,ae20.0,100000000
