network,type,router,software,chassis,clli_code
AS209,PRIV,TKO3-PRIV-20,16.0.R15,7750-SR-7,TOKYJPJH
AS209,PRIV,DAL-PRIV-23,16.0.R15,7750-SR-12e,DLLSTX37
AS3549,ER,DEN1-ER1,15.1F5-S7.1,MX480,AURSCOFW
AS209,PRIV,TOR2-PRIV-20,16.0.R15,7750-SR-7,TOROONXN
AS209,PRIV,HLN2-PRIV-21,16.0.R15,7750-SR-12,HLNAMTMA
AS3549,VAR,VAR2.NYC6,21.4R3-S8.4,MX960,NYCPNYYK
AS209,PRIV,SGX-PRIV-20,16.0.R15,7750-SR-12,SNGPSIDD
AS209,PRIV,CLS3-PRIV-20,16.0.R15,7750-SR-12,CLSSCOOF
AS209,PRIV,ATL2-PRIV-20,16.0.R15,7750-SR-12,ATLAGAOQ
AS209,PRIV,MIL-PRIV-20,16.0.R15,7750-SR-12,MILAWIIR
AS3549,ER,MSP1-ER1,19.1R2-S3,MX480,MNNTMNIC
AS3549,ER,MSP2-ER1,15.1F5-S7.1,MX480,MPLSMNCD
AS209,PRIV,NLR-PRIV-20,16.0.R15,7750-SR-12,NLRKARGP
AS209,PRIV,SVL-PRIV-21,16.0.R15,7750-SR-12,SNVACAHZ
AS3549,ESP,ESP2.BOS1,16.0.R15,7750-SR-12,CMBRMAOR
AS3549,VAR,VAR1.CED1,21.4R3-S8.4,MX10003,CDRRIADT
AS3549,ER,HAR1-ER1,19.1R2-S3,MX960,HRBGPAGU
AS3549,VAR,VAR32.NWR1,22.4R3-S6.5,MX304,NWRKNJMD
AS3549,ER,COS1-ER1,21.2R3-S9.20,MX480,CLSPCO11
AS3356,EBR,EBR2.DAL1,22.4R3-S6.5,PTX10008,DLLATX37
AS209,PCOR,JFK2-PCOR-20,16.0.R20,7950-XRS-20,NYCMNYAA
AS209,PCOR,JFK2-PCOR-21,16.0.R20,7950-XRS-20,NYCMNYAA
AS3549,CR,SJO1-CR1,21.2R3-S9.20,MX960,SNVACAID
AS209,PRIV,TKO-PRIV-20,16.0.R15,7750-SR-12,TOKYJPET
AS3549,VAR,VAR2.LAS4,21.4R3-S8.4,MX10003,NLVGNVBV
AS209,PRIV,PHN-PRIV-20,16.0.R15,7750-SR-12,PHNXAZUI
AS209,DSL-GW,SLCY-DSL-GW17.SLCY.QWEST.NET,19.4R3-S3.3,MX480,SLKDUTUY
AS209,EDGE,CER-EDGE-22,21.2R3-S9.20,MX960,CHCGILDT
AS209,PRIV,RLG-PRIV-21,16.0.R15,7750-SR-12,RLGINCHK
AS209,DSL-GW,OMAH-DSL-GW20.OMAH.QWEST.NET,16.0.R15,7750-SR-12,OMAHNEKG
AS209,PRIV,BUR-PRIV-21,16.0.R15,7750-SR-12,BRBNCACG
AS3549,AR,PHX1-AR1,15.1F5-S7.1,MX960,PHNZAZDM
AS209,EDGE,HLR-EDGE-11,21.2R3-S3.5,MX960,HLRNCOFP
AS209,DSL-GW,HLRN-DSL-GW14.HLRN.QWEST.NET,16.0.R15,7750-SR-12,HLRNCOFP
AS209,PRIV,VAN-PRIV-21,16.0.R15,7750-SR-7,VANCBCHC
AS209,PRIV,ATL-PRIV-21,16.0.R15,7750-SR-12,ATLNGAMA
AS3549,ES,MIA2-ES3,20.2X4.1,ACX5448,MIAUFLWS
AS3549,ES,DEN5-ES2,20.2X4.1,ACX5448,DNVTCO56
AS209,PRIV,TUK-PRIV-23,16.0.R15,7750-SR-12,TKWLWALL
AS209,PRIV,CHY2-PRIV-20,16.0.R15,7750-SR-12,CHYNWYMA
AS209,PRIV,MIN5-PRIV-24,16.0.R15,7750-SR-12,STPLMNMK
AS209,PRIV,DVR3-PRIV-21,16.0.R15,7750-SR-12,DNVRCOMA
AS209,PRIV,DVN-PRIV-20,16.0.R15,7750-SR-12,BTNDIAUT
AS3549,PR,PR1.MIN25,21.2R3-S9.21,MX104,MNNTMNIC
AS3549,VAR,VAR1.WDC2,21.4R3-S8.4,MX960,MCLNVA23
AS209,DSL-GW,STPL-DSL-GW18.STPL.QWEST.NET,16.0.R15,7750-SR-12,STPLMNMK
AS3549,VAR,VAR1.SJO1,21.4R3-S8.4,MX960,SNVACAID
AS209,PRIV,MMP-PRIV-21,16.0.R15,7750-SR-12,MMPHTN08
AS3549,VAR,VAR1.CLE5,21.4R3-S8.4,MX10003,CLEVOH97
AS3549,VAR,VAR2.TUL2,21.4R3-S8.4,MX10003,TULUOKBR
AS3549,VAR,VAR2.BOS4,21.4R3-S8.4,MX10003,CMBRMAOR
AS209,EDGE,DCX5-EDGE-03,21.2R3-S3.5,MX480,ASBNVAMG
AS3549,VAR,VAR2.DET3,21.4R3-S8.4,MX10003,DTRTMITK
AS209,PCOR,TCS-PCOR-03,18.2R3-S8.5,MX960,TCSNAZ64
AS209,EDGE,SPK2-EDGE-02,21.2R3-S3.5,MX960,SPKNWA01
AS209,DSL-GW,HLRN-DSL-GW16.HLRN.QWEST.NET,21.2R3-S9.20,MX480,HLRNCOFP
AS3549,VAR,VAR1.MIA42,21.4R3-S8.4,MX10003,MIBBFLLO
AS209,PCOR,IPL-PCOR-05,18.2R3-S8.5,MX960,IPLXINIF
AS3549,VAR,VAR1.BOI3,21.4R3-S8.4,MX960,BOISIDMA
AS3549,ER,FRS1-ER1,15.1F5-S7.1,MX480,FRSNCAVV
AS3549,AR,AR4.WDC2,11.4R11.4,M120,WASHDC29
AS3549,VAR,VAR2.MSP1,21.4R3-S8.4,MX10003,MNNTMNIC
AS209,PRIV,BLT-PRIV-20,16.0.R15,7750-SR-12,BLTMMDDN
AS209,DSL-GW,SLCY-DSL-GW12.SLCY.QWEST.NET,19.4R3-S3.3,MX480,SLKDUTUY
AS3549,MAR,MAR1.ATL2,11.4R8.4,M120,ATLNGAMQ
AS3549,VAR,VAR31.DAL2,22.4R3-S6.5,MX304,DLLSTX97
AS3549,ES,AUS6-ES1,20.2X4.1,ACX5448,AUSTTXUH
AS3549,VAR,VAR2.SJO1,21.4R3-S8.4,MX960,SNVACAID
AS3356,EBR,EBR4.WDC1,16.0.R14,7950-XRS-40,MCLNVA23
AS3549,VAR,VAR61.NWR62,22.4R3-S6.5,MX10004,SCCSNJEM
AS3549,VAR,VAR4.NYC6,22.4R3-S6.5,MX10004,NYCPNYYK
AS209,PRIV,SPK2-PRIV-21,16.0.R15,7750-SR-12,SPKNWA01
AS3549,VAR,VAR1.SLC5,21.4R3-S8.4,MX10003,SLKDUTTX
AS209,EDGE,ATX3-EDGE-01,21.2R3-S9.20,MX2010,ATLNGAMQ
AS209,PRIV,TLH-PRIV-21,16.0.R15,7750-SR-12,TLHSFLTE
AS3549,AR,AR1.ATL2,14.0.R5-1,7750-SR-12,ATLNGAMQ
AS209,DSL-GW,TUKW-DSL-GW56.TUKW.QWEST.NET,12.2(33)SB13,C10008,TKWLWALL
AS209,PRIV,FTW-PRIV-20,16.0.R15,7750-SR-12,FTWQTXFH
AS3549,VAR,VAR1.SEA4,21.4R3-S8.4,MX960,STTLWA06
AS3549,ER,SPK1-ER1,15.1F5-S7.1,MX480,SPKNWAVR
AS209,PRIV,DLT-PRIV-20,16.0.R15,7750-SR-12,DLTHMNAT
AS209,SVCS,CHY2-SVCS-10,15.1F6-S6.4,MX480,CHYNWYMA
AS209,EDGE,MIN5-EDGE-05,21.2R3-S3.5,MX960,STPLMNMK
AS3549,VAR,VAR1.DET3,21.4R3-S8.4,MX10003,DTRTMITK
AS209,PRIV,VAN-PRIV-20,16.0.R15,7750-SR-7,VANCBCHC
AS209,PRIV,DCA3-PRIV-20,16.0.R15,7750-SR-12,RSTNVA14
AS209,PRIV,SNT2-PRIV-20,16.0.R15,7750-SR-12,SNTCCAQM
AS209,PRIV,HLR-PRIV-24,16.0.R15,7750-SR-12,HLRNCOFP
AS3549,ER,HOU1-ER1,15.1F5-S7.1,MX480,HSTOTX42
AS3549,ER,KSC1-ER1,15.1F5-S7.1,MX480,KSCYMOMC
AS209,EDGE,NLR-EDGE-01,21.2R3-S3.5,MX960,NLRKARGP
AS3549,ER,GRB4-ER1,19.1R2-S3,MX960,APPLWIFI
AS3549,AR,HOU1-AR1,19.1R2-S3,MX960,HSTOTX42
AS3549,AR,CAE1-AR3,21.2R3-S9.20,MX480,CLMASCTS
AS3549,ESP,ESP1.LOU2,16.0.R15,7750-SR-12,LSVMKYCY
AS209,PRIV,MON-PRIV-21,16.0.R15,7750-SR-12,MONRLA17
AS3549,AR,ROC1-AR4,14.1R8.6,M320,GATSNYAO
AS3356,EDGE,EDGE7.NYC1,11.4R8.4,M120,NYCMNY83
AS3549,VAR,VAR2.NWR1,21.4R3-S8.4,MX10003,NWRKNJMD
AS3356,EAR,EAR1.MSL2,23.10.R8,7750-SR-2s,MSSLMTMA
AS3549,ES,PHX57-ES31,23.4R2-S3.10-EVO,ACX7100-32C,TEMPAZBQ
AS3549,VAR,VAR1.NYC6,21.4R3-S8.4,MX960,NYCPNYYK
AS3549,VAR,VAR3.OAK3,22.4R3-S6.5,MX10004,EMVLCA04
AS3549,VAR,VAR4.OAK3,22.4R3-S6.5,MX10004,EMVLCA04
AS3549,MAR,MAR1.PIT3,11.4R8.4,M120,PITDPANG
AS209,EDGE,FRP-EDGE-06,21.2R3-S3.5,MX960,FRPKGACX
AS3549,VAR,VAR2.WDC2,21.4R3-S8.4,MX960,MCLNVA23
AS3549,VAR,VAR1.FMY10,21.4R3-S8.4,MX10003,FTMYFLXA
AS3549,VAR,VAR1.CHO10,21.4R3-S8.4,MX10003,CHVLVAXA
AS3549,AR,AUS1-AR2,19.1R2-S3,MX960,AUSWTXSZ
AS3549,AR,NWR1-AR1,19.1R2-S3,MX960,NWRKNJMD
AS209,EDGE,FTM-EDGE-03,21.2R3-S3.5,MX480,FTMYFLXA
AS3356,EBR,EBR1.KAC2,23.10.R8,7750-SR-7s,KSCBMOVS
AS3549,PR,PR1.LAX1,10.0S27.2,M10i,LSANCARC
AS3549,VAR,VAR2.ATL12,21.4R3-S8.4,MX960,ATLDGAUY
AS209,PRIV,HLR-PRIV-20,16.0.R15,7750-SR-12,HLRNCOFP
AS3549,SCR,SCR4.AUS1,22.4R3-S6.5,MX10004,AUSTTXUH
AS3549,AR,CHO10-AR1,21.2R3-S9.20,MX960,CHVLVAXA
AS209,PRIV,BIL-PRIV-21,16.0.R15,7750-SR-12,BLNGMTSG
AS209,PRIV,TUK-PRIV-22,16.0.R15,7750-SR-12,TKWLWALL
AS209,EDGE,LOS-EDGE-08,21.2R3-S3.5,MX2010,LSANCAJW
AS209,PRIV,SFD-PRIV-21,16.0.R15,7750-SR-12,SFLDMIBV
AS209,PRIV,JCV-PRIV-21,16.0.R15,7750-SR-12,JCVLFLJB
AS3549,ES,CHI10-ES32,23.4R2-S3.10-EVO,ACX7100-32C,CHCGILDT
AS3549,ES,CHI10-ES31,23.4R2-S3.10-EVO,ACX7100-32C,CHCGILDT
AS3549,VAR,VAR1.CHI13,21.4R3-S8.4,MX10003,BRVWILCU
AS209,PRIV,SND2-PRIV-20,16.0.R15,7750-SR-12,SNDACAWA
AS3356,EBR,EBR1.DAL5,23.10.R6,7750-SR-7s,DLLSTX37
