action,device_name,location,device_role,device_vendor,device_model,availability_zone,lifecycle_status,planning_status,health_status,device_description,network,floor,aisle,rack
add,VAR1.NYC1,NYC1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,2,1
add,VAR1.NYC1,NYC1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,11,2,2
add,VAR2.NYC1,NYC1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,1,2
add,VAR3.NYC1,NYC1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,11,2,13
add,VAR1.DEN1,DEN1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,11,2,3
add,VAR2.DEN1,DEN1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,11,2,3
add,VAR3.DEN1,DEN1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,11,2,3
add,VAR1.SFO1,SFO1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,1,1
add,VAR2.SFO1,SFO1,VAR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,11,2
add,SDR1.SFO1,SFO1,SDR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,1,2
add,SDR2.SFO1,SFO1,SDR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,21,2
add,SDR1.DEN1,DEN1,SDR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,2,1
add,SDR2.DEN1,DEN1,SDR,Juniper,MX10004,0,Active,Planned,4,test device,3549,10,2,2
add,SDR1.NYC1,NYC1,SDR,Juniper,MX10004,0,Active,Planned,4,test device,3549,11,21,12
add,SDR2.NYC1,NYC1,SDR,Juniper,MX10004,0,Active,Planned,4,test device,3549,13,21,12
add,VAR31.NYC1,NYC1,VAR,Juniper,MX304,0,Active,Planned,4,test device,3549,33,21,13
add,VAR32.NYC1,NYC1,VAR,Juniper,MX304,0,Active,Planned,4,test device,3549,31,2,3
add,ES31.NYC1,NYC1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,33,21,13
add,ES32.NYC1,NYC1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,31,2,3
add,ES33.NYC1,NYC1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,33,21,13
add,ES34.NYC1,NYC1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,31,2,3
add,VAR31.DEN1,DEN1,VAR,Juniper,MX304,0,Active,Planned,4,test device,3549,33,21,13
add,VAR32.DEN1,DEN1,VAR,Juniper,MX304,0,Active,Planned,4,test device,3549,31,2,3
add,ES31.DEN1,DEN1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,33,21,13
add,ES32.DEN1,DEN1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,31,2,3
add,ES33.DEN1,DEN1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,33,21,13
add,ES34.DEN1,DEN1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,31,2,3
add,ES31.SFO1,SFO1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,33,21,13
add,ES32.SFO1,SFO1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,31,2,3
add,ES33.SFO1,SFO1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,33,21,13
add,ES34.SFO1,SFO1,ES,Juniper,acx7100,0,Active,Planned,4,test device,3549,31,2,3
add,VAR31.SFO1,SFO1,VAR,Juniper,MX304,0,Active,Planned,4,test device,3549,33,21,13
add,VAR32.SFO1,SFO1,VAR,Juniper,MX304,0,Active,Planned,4,test device,3549,31,2,3
add,EAR1.SFO1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,1
add,EAR2.SFO1,SFO1,VAR,Nokia,7750-sr1,0,Active,Planned,4,test device,3356,31,2,2
add,EAR3.SFO1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,3
add,EAR1.DEN1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,1
add,EAR2.DEN1,SFO1,VAR,Nokia,7750-sr1,0,Active,Planned,4,test device,3356,31,2,2
add,EAR3.DEN1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,3
add,EAR1.NYC1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,1
add,EAR2.NYC1,SFO1,VAR,Nokia,7750-sr1,0,Active,Planned,4,test device,3356,31,2,2
add,EAR3.NYC1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,3
add,EAR1.WDC1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,1
add,EAR2.WDC1,SFO1,VAR,Nokia,7750-sr1,0,Active,Planned,4,test device,3356,31,2,2
add,EAR3.WDC1,SFO1,VAR,Nokia,7750-sr2se,0,Active,Planned,4,test device,3356,31,2,3
