location_code,short_name,location_name,address,address_2,city,state,postal_code,country,timezone_name,timezone_offset,latitude,longitude,region
ALBYNYYC,alb3,Albany3,194 WASHINGTON AVE,,ALBANY,NEW YORK,12210,US,EASTERN TIME,-5,42.656502,-73.763,
AMSTNLAQ,ams1,Amsterdam1,STEKKENBERGWEG 4,RM 0001,AMSTERDAM,NOORD-HOLLAND,1105 AJ,NL,CET  CENTRAL EUROPEAN,1,52.2962,4.948801,
ATLNGAHP,atl1,Atlanta1,345 COURTLAND ST NE,,ATLANTA,GEORGIA,30308,US,EASTERN TIME,-5,33.765099,-84.383728,
ATLDGAUY,atl2,Atlanta2,180 PEACHTREE ST NW,,ATLANTA,GEORGIA,30303,US,EASTERN TIME,-5,33.759109,-84.38826,
ATLBGAHE,atl3,Atlanta3,874 DEKALB AVE NE,,ATLANTA,GEORGIA,30307,US,EASTERN TIME,-5,33.754749,-84.358749,
ATLNGAMQ,atl4,Atlanta4,56 MARIETTA ST NW,,ATLANTA,GEORGIA,30303,US,EASTERN TIME,-5,33.755428,-84.391579,
ATLNGAQS,atl5,Atlanta5,250 WILLIAMS ST NW,,ATLANTA,GEORGIA,30303,US,EASTERN TIME,-5,33.761631,-84.391304,
ATLCGA06,atl6,Atlanta6,953 DONNELLY AVE SW,,ATLANTA,GEORGIA,30310,US,EASTERN TIME,-5,33.728588,-84.418854,
AUSTTXUH,aus1,Austin1,4207 SMITH SCHOOL RD,,AUSTIN,TEXAS,78744,US,CENTRAL TIME,-6,30.19714,-97.713402,
BLTMMDSN,bal1,Baltimore1,300 W LEXINGTON ST,,BALTIMORE,MARYLAND,21201,US,EASTERN TIME,-5,39.29174,-76.619659,
BTRGLA04,btr5,BatonRouge5,301 MAIN ST,,BATON ROUGE,LOUISIANA,70801,US,CENTRAL TIME,-6,30.451469,-91.188225,
BRLNGEAM,ber1,Berlin1,GRADESTR 60,,BERLIN,BERLIN,12347,DE,CET  CENTRAL EUROPEAN,1,52.45269,13.42841,
CMBRMAOR,bos1,Boston1,300 BENT ST,,CAMBRIDGE,MASSACHUSETTS,2141,US,EASTERN TIME,-5,42.367569,-71.086388,
EVREBG01,bru1,Brussels1,2 AVENUE LEON GROSJEAN,,EVERE,BRUSSELS,1140,BE,CET  CENTRAL EUROPEAN,1,50.85767,4.411853,
BFLPNYBF,buf1,Buffalo1,240 SCOTT ST,,BUFFALO,NEW YORK,14204,US,EASTERN TIME,-5,42.875774,-78.86731,
SBTNVTDP,btv1,Burlington1,102 KIMBALL AVE,,SOUTH BURLINGTON,VERMONT,5403,US,EASTERN TIME,-5,44.456139,-73.148003,
CHRLNCRL,clt1,Charlotte1,4021 ROSE LAKE DR,,CHARLOTTE,NORTH CAROLINA,28217,US,EASTERN TIME,-5,35.17865,-80.928322,
CHVLVACF,cho1,Charlottesville1,324 W MAIN ST,,CHARLOTTESVILLE,VIRGINIA,22903,US,EASTERN TIME,-5,38.03022,-78.486351,
CHCGILGM,chi1,Chicago1,111 N CANAL ST,,CHICAGO,ILLINOIS,60606,US,CENTRAL TIME,-6,41.883781,-87.639801,
CHCTILWC,chi2,Chicago2,900 N KINGSBURY ST,,CHICAGO,ILLINOIS,60610,US,CENTRAL TIME,-6,41.898911,-87.644753,
CNCNOHBV,cin1,Cincinnati1,400 PIKE ST,,CINCINNATI,OHIO,45202,US,EASTERN TIME,-5,39.102589,-84.503113,
CLEVOH97,cle1,Cleveland1,4000 CHESTER AVE,,CLEVELAND,OHIO,44103,US,EASTERN TIME,-5,41.505211,-81.657753,
CLGNGE01,cgn1,Cologne1,STOLBERGER STR 200,,KOLN,NORTH RHINE-WESTPHALIA,50933,DE,PACIFIC TIME,-8,50.942459,6.89344,
CLMBSC44,cae1,Columbia1,520 WHALEY ST,,COLUMBIA,SOUTH CAROLINA,29201,US,EASTERN TIME,-5,33.984051,-81.037628,
CLMDOHHW,clb1,Columbus1,376 W BROAD ST,BUILDING A,COLUMBUS,OHIO,43215,US,EASTERN TIME,-5,39.960976,-83.011032,
CPNHDKAI,cop1,Copenhagen1,HORSKAETTEN 3,G/F,TAASTRUP,CAPITAL,2630,DK,CET  CENTRAL EUROPEAN,1,55.662197,12.301456,
CDPTPAAF,cou1,Coudersport1,712 N MAIN ST,,COUDERSPORT,PENNSYLVANIA,16915,US,EASTERN TIME,-5,41.780121,-78.019859,
DLLATX37,dal1,Dallas1,3180 IRVING BLVD,,DALLAS,TEXAS,75247,US,CENTRAL TIME,-6,32.806999,-96.868629,
DLLVTXDQ,dal2,Dallas2,3439 IRVING BLVD,,DALLAS,TEXAS,75247,US,CENTRAL TIME,-6,32.8088,-96.876411,
DNVTCO56,den1,Denver1,1850 N PEARL ST,,DENVER,COLORADO,80203,US,MOUNTAIN TIME,-7,39.745239,-104.979454,
DNVRCO26,den2,Denver2,910 15TH ST,,DENVER,COLORADO,80202,US,MOUNTAIN TIME,-7,39.745659,-104.995567,
SFLDMIDN,det1,Detroit1,19675 W 10 MILE RD,,SOUTHFIELD,MICHIGAN,48075,US,EASTERN TIME,-5,42.472389,-83.237907,
DBLNIRBE,dub1,Dublin1,4027 KINGSWOOD ROAD,,DUBLIN,DUBLIN,D24 AX06,IE,"DUBLIN,EDINBURGH,LONDON,LISBON",0,53.290989,-6.41527,
DSDFGEAK,dus1,Dusseldorf1,37 IN DER STEELE,,DUSSELDORF,NORTH RHINE-WESTPHALIA,40599,DE,CET  CENTRAL EUROPEAN,1,51.187439,6.86822,
ELPUTXAY,elp1,ElPaso1,501 W OVERLAND AVE,,EL PASO,TEXAS,79901,US,CENTRAL TIME,-6,31.75585,-106.493378,
FRNKGEAT,frf1,Frankfurt1,R??SSELSHEIMER STR 22,,FRANKFURT AM MAIN,HESSE,60326,DE,CET  CENTRAL EUROPEAN,1,50.103035,8.620184,
TMRCFL03,fll1,FtLauderdale1,2121 W PROSPECT RD,,TAMARAC,FLORIDA,33309,US,EASTERN TIME,-5,26.184078,-80.171837,
FTMYFL02,fmy1,FtMyers1,3520 PALM AVE,,FORT MYERS,FLORIDA,33901,US,EASTERN TIME,-5,26.612343,-81.856491,
GRCYNYRD,gnc1,GardenCity1,71 CLINTON RD,,GARDEN CITY,NEW YORK,11530,US,EASTERN TIME,-5,40.72953,-73.61924,
GENVSZ07,gen1,Geneva1,RUE DE LA CONF??D??RATION 6,,GENEVE,GENEVE ,1204,CH,CET  CENTRAL EUROPEAN,1,46.203609,6.144255,
HMBGGEAK,ham1,Hamburg1,S??DERSTR 198,,HAMBURG,HAMBURG,20537,DE,CET  CENTRAL EUROPEAN,1,53.547932,10.04298,
HRBGPAGU,har1,Harrisburg1,1037 N 7TH ST,,HARRISBURG,PENNSYLVANIA,17102,US,EASTERN TIME,-5,40.2701,-76.88195,
HRFRCTBE,hfd1,Hartford1,155 LOCUST ST,,HARTFORD,CONNECTICUT,6114,US,EASTERN TIME,-5,41.745049,-72.66526,
