action,device_a,port_a,device_b,port_b,link_type,channel,frequency,description,, 
add,VAR1.NYC1,ae0,VAR1.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,, 
add,VAR1.NYC1,ae1,VAR1.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,, 
add,VAR2.NYC1,ae0,VAR2.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,VAR2.NYC1,ae1,VAR2.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,SDR1.NYC1,ae0,SDR1.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,SDR1.NYC1,ae1,SDR1.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,SDR1.NYC1,ae2,SDR1.NYC1,gig-0/0/2,LAG,0,0,LAG to Physical ,,
add,SDR1.NYC1,ae3,SDR1.NYC1,gig-0/0/3,LAG,0,0,LAG to Physical ,,
add,SDR2.NYC1,ae0,SDR2.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,SDR2.NYC1,ae1,SDR2.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,SDR2.NYC1,ae2,SDR2.NYC1,gig-0/0/2,LAG,0,0,LAG to Physical ,,
add,SDR2.NYC1,ae3,SDR2.NYC1,gig-0/0/3,LAG,0,0,LAG to Physical ,,
add,VAR1.NYC1,gig-0/0/0,SDR1.NYC1,gig-0/0/0,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
add,VAR1.NYC1,ae0,SDR1.NYC1,ae0,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,VAR1.NYC1,gig-0/0/1,SDR2.NYC1,gig-0/0/0,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
add,VAR1.NYC1,ae1,SDR2.NYC1,ae0,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,VAR2.NYC1,gig-0/0/0,SDR1.NYC1,gig-0/0/1,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
add,VAR2.NYC1,ae0,SDR1.NYC1,ae1,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,VAR2.NYC1,gig-0/0/1,SDR2.NYC1,gig-0/0/1,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
add,VAR2.NYC1,ae1,SDR2.NYC1,ae1,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,SDR1.NYC1,gig-0/0/2,SDR1.NYC1,gig-0/0/2,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
add,SDR1.NYC1,ae2,SDR2.NYC1,ae2,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,VAR31.NYC1,ae0,VAR31.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,VAR31.NYC1,ae1,VAR31.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,VAR31.NYC1,ae2,VAR31.NYC1,gig-0/0/2,LAG,0,0,LAG to Physical ,,
add,VAR31.NYC1,ae2,VAR31.NYC1,gig-0/0/3,LAG,0,0,LAG to Physical ,,
add,VAR31.NYC1,ae3,VAR31.NYC1,gig-0/0/4,LAG,0,0,LAG to Physical ,,
add,VAR31.NYC1,ae3,VAR31.NYC1,gig-0/0/5,LAG,0,0,LAG to Physical ,,
add,VAR32.NYC1,ae0,VAR32.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,VAR32.NYC1,ae1,VAR32.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,VAR32.NYC1,ae2,VAR32.NYC1,gig-0/0/2,LAG,0,0,LAG to Physical ,,
add,VAR32.NYC1,ae2,VAR32.NYC1,gig-0/0/3,LAG,0,0,LAG to Physical ,,
add,VAR32.NYC1,ae3,VAR32.NYC1,gig-0/0/4,LAG,0,0,LAG to Physical ,,
add,VAR32.NYC1,ae3,VAR32.NYC1,gig-0/0/5,LAG,0,0,LAG to Physical ,,
add,ES31.NYC1,ae0,ES31.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,ES31.NYC1,ae1,ES31.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,ES32.NYC1,ae0,ES32.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,ES32.NYC1,ae1,ES32.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,ES33.NYC1,ae0,ES33.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,ES33.NYC1,ae1,ES33.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,ES34.NYC1,ae0,ES34.NYC1,gig-0/0/0,LAG,0,0,LAG to Physical ,,
add,ES34.NYC1,ae1,ES34.NYC1,gig-0/0/1,LAG,0,0,LAG to Physical ,,
add,VAR31.NYC1,gig-0/0/0,SDR1.NYC1,gig-0/0/3,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
add,VAR31.NYC1,gig-0/0/1,VAR32.NYC1,gig-0/0/1,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
